day,time,message
1,17:00,Ребята привет! 🌟 Пока впечатления свежи пожалуйста заполните фидбек за сегодняшний день https://forms.yandex-team.ru/ext/surveys/13781848
2,10:00,Привет! С сегодняшнего дня начнём погружаться в работу. Тебе предстоит изучить регламенты и продукт — это база которая поможет тебе общаться с клиентами. Сохрани в закладки Единое окно менеджера и базу знаний разберись с регламентами CRM и EOM и подготовь вопросы для встречи с Бадди.
2,17:00,Ребята привет! 🌟 Пока впечатления свежи пожалуйста заполните фидбек за сегодняшний день https://forms.yandex-team.ru/ext/surveys/13781848
3,10:00,Привет! Сегодня познакомимся с основами работы в Директе. Узнаешь какие бывают типы объявлений где показывается реклама условия показа и как подбирать ключевые фразы для рекламных кампаний. Сохрани ссылку на Яндекс Справку.
3,17:00,Ребята привет! 🌟 Пока впечатления свежи пожалуйста заполните фидбек за сегодняшний день https://forms.yandex-team.ru/ext/surveys/13781848
4,10:00,Привет! Сегодня научишься настраивать рекламные кампании в Директе. Разберёшь Простой старт Мастер кампаний и Единую перфоманс кампанию. Создай тестовый аккаунт Директа для практики.
4,17:00,Ребята привет! 🌟 Пока впечатления свежи пожалуйста заполните фидбек за сегодняшний день https://forms.yandex-team.ru/ext/surveys/13781848
5,10:00,Привет! Сегодня изучим модели оплаты рекламы ставки и стратегии показа в Директе.
5,17:00,Ребята привет! 🌟 Пока впечатления свежи пожалуйста заполните фидбек за сегодняшний день https://forms.yandex-team.ru/ext/surveys/13781848
6,10:00,Привет! Сегодня научишься анализировать рекламные кампании и разберёшь отчёты Директа. В конце дня будет тестирование.
6,17:00,Ребята привет! 🌟 Пока впечатления свежи пожалуйста заполните фидбек за сегодняшний день https://forms.yandex-team.ru/ext/surveys/13781848
7,10:00,Привет! Сегодня изучаем Метрику и отчёты для анализа рекламных кампаний. Готовься к третьему кейсу.
7,17:00,Ребята привет! 🌟 Пока впечатления свежи пожалуйста заполните фидбек за сегодняшний день https://forms.yandex-team.ru/ext/surveys/13781848
8,10:00,Привет! Продолжаем изучать Метрику. Важные знания пригодятся в работе. Скоро тест по Метрике.
8,17:00,Ребята привет! 🌟 Пока впечатления свежи пожалуйста заполните фидбек за сегодняшний день https://forms.yandex-team.ru/ext/surveys/13781848
9,10:00,Привет! Сегодня познакомишься с медийной рекламой и её возможностями. Готовься к кейсу 5.
9,17:00,Ребята привет! 🌟 Пока впечатления свежи пожалуйста заполните фидбек за сегодняшний день https://forms.yandex-team.ru/ext/surveys/13781848
10,10:00,Привет! Сегодня изучаем электронную коммерцию товарные кампании маркетплейсы и спецотчёты Метрики.
10,17:00,Ребята привет! 🌟 Пока впечатления свежи пожалуйста заполните фидбек за сегодняшний день https://forms.yandex-team.ru/ext/surveys/13781848
11,10:00,Привет! Сегодня поговорим о дополнительных возможностях Директа баннеры на поиске телеграм-каналы и продвижение приложений.
11,17:00,Ребята привет! 🌟 Пока впечатления свежи пожалуйста заполните фидбек за сегодняшний день https://forms.yandex-team.ru/ext/surveys/13781848
12,10:00,Привет! Сегодня изучим модерацию интерфейсы Директа и аналитические инструменты для клиентов.
12,17:00,Ребята привет! 🌟 Пока впечатления свежи пожалуйста заполните фидбек за сегодняшний день https://forms.yandex-team.ru/ext/surveys/13781848
13,10:00,Привет! Сегодня экзаменационный день. Вспомни всё что узнал и покажи результат.
13,17:00,Ребята привет! 🌟 Пока впечатления свежи пожалуйста заполните фидбек за сегодняшний день https://forms.yandex-team.ru/ext/surveys/13781848
14,10:00,Привет! Сегодня познакомимся с CRM манифестом менеджера стандартами коммуникации и дашбордами. Подготовь вопросы к встрече с тимлидом.
14,17:00,Ребята привет! 🌟 Пока впечатления свежи пожалуйста заполните фидбек за сегодняшний день https://forms.yandex-team.ru/ext/surveys/13781848
